Country,Year95to99,Year00to04,Year05to09,info
Sweden,1.498189756,1.481428402,2.156254166,AvgInflation. GDP deflator (annual %)
Switzerland,0.340268655,0.793389098,1.45368743,AvgInflation. GDP deflator (annual %)
Syria,7.146975019,4.777234148,8.975337192,AvgInflation. GDP deflator (annual %)
Taiwan,,,,AvgInflation. GDP deflator (annual %)
Tajikistan,191.2237484,23.7317364,19.64076258,AvgInflation. GDP deflator (annual %)
Tanzania,21.00230738,7.089809913,7.633922865,AvgInflation. GDP deflator (annual %)
Thailand,3.772602317,1.737270298,3.812146629,AvgInflation. GDP deflator (annual %)
Timor-Leste,,1.520729545,12.13625342,AvgInflation. GDP deflator (annual %)
Togo,5.835986479,0.571582041,5.1882045,AvgInflation. GDP deflator (annual %)
Tokelau,,,,AvgInflation. GDP deflator (annual %)
Tonga,2.001717311,5.620334795,7.113062185,AvgInflation. GDP deflator (annual %)
Transnistria,,,,AvgInflation. GDP deflator (annual %)
Trinidad and Tobago,3.276457883,5.322107307,5.944629075,AvgInflation. GDP deflator (annual %)
Tunisia,6.064746943,2.804481758,3.766471537,AvgInflation. GDP deflator (annual %)
Turkey,87.36595551,35.03429015,7.984969907,AvgInflation. GDP deflator (annual %)
Turkmenistan,396.5399502,10.19195774,17.68687223,AvgInflation. GDP deflator (annual %)
Turks and Caicos Islands,,,,AvgInflation. GDP deflator (annual %)
Tuvalu,5.07947374,4.69415353,0.44306521,AvgInflation. GDP deflator (annual %)
Uganda,5.143352748,7.175303242,5.783984577,AvgInflation. GDP deflator (annual %)
Ukraine,107.8882548,12.31224543,20.76804781,AvgInflation. GDP deflator (annual %)
United Arab Emirates,2.583431014,5.090979306,9.272430876,AvgInflation. GDP deflator (annual %)
United Kingdom,2.040440796,1.889451196,2.494969259,AvgInflation. GDP deflator (annual %)
United States,1.7792176,2.194522697,2.543831589,AvgInflation. GDP deflator (annual %)
Uruguay,22.33504648,9.525778923,6.057787245,AvgInflation. GDP deflator (annual %)
