Country,Year95to99,Year00to04,Year05to09,info
Abkhazia,,,Avg. Income/pp $USD
Afghanistan,,,Avg. Income/pp $USD
Akrotiri and Dhekelia,,,Avg. Income/pp $USD
Uzbekistan,517.4591005,595.4734747,785.0662457,Avg. Income/pp $USD
Wallis et Futuna,,,,Avg. Income/pp $USD
Vanuatu,1395.6537,1354.034327,1461.686115,Avg. Income/pp $USD
Venezuela,5041.768069,4532.801814,5572.8311,Avg. Income/pp $USD
West Bank and Gaza,1344.259645,1101.304053,1056.296491,Avg. Income/pp $USD
West Germany,,,,Avg. Income/pp $USD
Western Sahara,,,,Avg. Income/pp $USD
Vietnam,349.4422537,451.3769687,617.839892,Avg. Income/pp $USD
Virgin Islands (U.S.),,,,Avg. Income/pp $USD
North Yemen (former),,,,Avg. Income/pp $USD
South Yemen (former),,,,Avg. Income/pp $USD
Yemen,,551.7655349,576.7143114,Avg. Income/pp $USD
Yugoslavia,,,,Avg. Income/pp $USD
Zambia,,332.6442048,384.5876774,Avg. Income/pp $USD
Zimbabwe,,471.0853997,326.0520838,Avg. Income/pp $USD
Åland,,,,Avg. Income/pp $USD
South Sudan,,,,Avg. Income/pp $USD
Christian,,,,Avg. Income/pp $USD
Coastline,,,,Avg. Income/pp $USD
Curaçao,,,,Avg. Income/pp $USD
Sint Maarten (Dutch part),,,,Avg. Income/pp $USD
St. Martin (French part),,,,Avg. Income/pp $USD
Antarctica,,,,Avg. Income/pp $USD
Virgin Islands. British,,,,Avg. Income/pp $USD
Hawaiian Trade Zone,,,,Avg. Income/pp $USD
U.S. Pacific Islands,,,,Avg. Income/pp $USD
Wake Island,,,,Avg. Income/pp $USD
Bonaire,,,,Avg. Income/pp $USD
Sark,,,,Avg. Income/pp $USD
Chinese Taipei,,,,Avg. Income/pp $USD
Saint Eustatius,,,,Avg. Income/pp $USD
Saba,,,,Avg. Income/pp $USD
